Theme: Households,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,
Topic: Household Characteristics,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Households by Monthly Household Income from Work (Excluding Employer CPF Contributions), 2000 - 2022 (Household Income From Work, Annual)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 09/02/2023,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Per Cent
"  $7,000 - $7,999",5,5.2,5.1,5,5,5.7,5.6,5.9,5.7,5.8,5.9,6,5.6,5.2,5.9,5.3,4.9,5,4.8,4.6,4.8,4.7,4.6
"  $8,000 - $8,999",4.8,4.8,4.8,4.6,5.2,5,5.3,5,5.2,5,5.3,5.2,4.8,4.6,4.6,4.2,3.9,3.9,3.8,3.6,3.6,3.9,3.5
"  $9,000 - $9,999",4.3,4.4,4.2,4.5,4.4,4.5,4.5,4.5,4.7,4.6,4.2,4.2,3.9,3.7,3.9,3.4,3,2.8,2.7,2.6,2.9,3,2.6
"  $10,000 - $10,999",4.2,4,4,4.2,4.2,3.9,4.3,4.3,4,4.3,4.2,3.7,3.4,3.4,3.4,3,2.6,2.4,2.1,2.2,2.3,2.2,2.1
"  $11,000 - $11,999",3.2,3.6,3.4,3.5,3.6,3.4,3.5,3.5,3.3,3.3,3.2,2.7,2.6,2.4,2.5,1.9,1.9,1.8,1.6,1.5,1.3,1.7,1.5
"  $12,000 - $12,999",3.2,3.1,3.1,3.2,3.1,3,3,3.2,3.1,3,2.6,2.5,2.2,2.3,2,2,1.6,1.5,1.4,1.3,1.3,1.4,1.2
"  $13,000 - $13,999",3,2.8,2.7,2.6,2.7,2.7,2.8,2.7,2.5,2.5,2.3,2.1,1.8,1.8,1.6,1.5,1.2,1.2,1,1.1,1,1.1,0.9
"  $14,000 - $14,999",2.6,2.5,2.4,2.4,2.4,2.4,2.3,2.2,2.3,2.1,1.9,1.8,1.5,1.4,1.4,1.1,0.9,0.9,0.7,0.7,0.7,0.8,0.7
"  $15,000 - $17,499",5.2,5.7,4.7,4.8,5.1,4.9,4.6,4.4,4.1,4,3.8,3.6,2.8,2.6,2.7,2.1,1.6,1.7,1.5,1.4,1.5,1.6,1.3
"  $17,500 - $19,999",3.9,3.7,3.3,3.5,3.2,3.4,3.3,3.2,2.9,2.6,2.6,2.2,1.8,1.6,1.8,1.5,1.3,1,0.9,0.9,1,1.1,0.8
"  $20,000 & Over",13.8,11.7,11.3,11.7,11.1,10.7,9.9,10.1,9.2,8.3,7.7,6.8,5.7,4.9,5.5,4.2,3.4,2.9,2.5,2.3,2.2,2.5,2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,
Note: A resident household refers to a household where the household reference person is a Singapore citizen or permanent resident.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,
Employed Persons:,,,,,,,,,,,,,,,,,,,,,,,
"Employed persons refer to persons aged 15 years and over who, during the reference period: (i) Work for one hour or more either for pay, profit or family gains; (ii) Have a job or business but are temporarily absent because of illness, injury, breakdown of machinery at workplace, labour-management dispute or other reasons. Member of the Singapore Armed Forces including full-time National Servicemen are included in the count of persons employed, unless otherwise specified.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 17/03/2023,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,
